"","m","Duration.wave1","ResponseId.wave1","gender","country","income.wave1","education","household_size","politicalorientation_1","Duration.wave2","ResponseId","age","income.wave2"
"128",229242295798887,1928,"R_2rj8UoPO5LJwv1f","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,4,1305,"R_1JUrVGo4h0DuwTF",61,"<1'500- 2'499€
3'100-4'299CHF"
"129",229242295804087,841,"R_1QxR1QCXiVrgpRz","male","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,7,1069,"R_udzH4UN1P064VWh",31,"<1'500- 2'499€
3'100-4'299CHF"
"130",229242295805140,1376,"R_1rwaK99dyb5OiNx","male","Germany","<1'500€
<3'100CHF","middle school",2,6,2871,"R_2rMazT4mo70rBsf",24,"<1'500- 2'499€
3'100-4'299CHF"
"131",229242295808010,550,"R_emV3rDfdW1tpBgB","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",4,1,607,"R_2Xc9Yrldu7ntYVA",39,"2'500- 4'000€
<4'300- 5'899CHF"
"132",229242295810100,485,"R_12RpgfF9RbUB4ew","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",5,7,868,"R_xyCOqHNGNye9UkN",42,"> 4'000€
>5'900 CHF"
"133",229242295811148,1805,"R_1QsyXVG8aCHPSpq","female","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",3,3,984,"R_2U4JJgoRrHPqxRx",43,"<1'500€
<3'100CHF"
"134",229242295814258,459,"R_5yZNDSvRZ1XblSx","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",4,7,1102,"R_3sssGsKyjbka1hw",36,"2'500- 4'000€
<4'300- 5'899CHF"
"135",229242295822351,770,"R_26eY9IqDmD0nVPG","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",4,7,1214,"R_2dGR1ye0yw7G94w",39,"2'500- 4'000€
<4'300- 5'899CHF"
"136",229242295826528,1752,"R_2TBHdhJcAD86iMB","female","Germany","> 4'000€
>5'900 CHF","obligatory school",2,6,1012,"R_32S17SjzkpJDxv8",53,"> 4'000€
>5'900 CHF"
"137",229242295830711,328,"R_Rlx1D84knvb3saJ","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",4,6,400,"R_24FPzaogsJl5Oao",25,"> 4'000€
>5'900 CHF"
"138",229242295831746,1611,"R_6SEE2rNUQKx5itb","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,4,1450,"R_10r8rAWRBrcfRNn",67,"2'500- 4'000€
<4'300- 5'899CHF"
"139",229242295833833,580,"R_74KbJdZuQ146KZj","male","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",1,8,202,"R_2w4gVGPQZCVmxQ6",27,"<1'500- 2'499€
3'100-4'299CHF"
"140",229242295835661,564,"R_1CxODomo4PUuC5Z","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,4,1073,"R_3CZMqw8jM8kb7qB",50,"<1'500- 2'499€
3'100-4'299CHF"
"141",229242295843984,545,"R_2PwhR3qIr4XLkco","male","Germany","> 4'000€
>5'900 CHF","middle school",2,5,678,"R_1rAhq8JtngWYhI1",49,"> 4'000€
>5'900 CHF"
"142",229242295846074,1073,"R_2tG1DNEYsrwpYsv","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",5,4,933,"R_1LwFWN68xSNI1a3",42,"2'500- 4'000€
<4'300- 5'899CHF"
"143",229242295846088,1199,"R_2Bb93RL9NgAu4F4","female","Germany","> 4'000€
>5'900 CHF","middle school",3,7,1101,"R_2DNsM3YlHw1zL8G",21,"> 4'000€
>5'900 CHF"
"144",229242295848169,1225,"R_2Bas2WO0yoM9QdK","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,2248,"R_1OwNrBIiXECqoyG",67,"2'500- 4'000€
<4'300- 5'899CHF"
"145",229242295855225,1316,"R_3RgO5GN0KthHTX2","male","Germany","> 4'000€
>5'900 CHF","obligatory school",4,5,1637,"R_BA5f3bgdhMyK6Rz",36,"> 4'000€
>5'900 CHF"
"146",229242295860434,554,"R_r08uOpMiLRdqa9b","male","Germany","<1'500€
<3'100CHF","obligatory school",3,3,452,"R_erkSpa4IDim2M81",50,"<1'500€
<3'100CHF"
"147",229242295869566,1476,"R_Z1uJRYvVbYlW8lb","female","Germany","> 4'000€
>5'900 CHF","middle school",5,7,1796,"R_2digNIMPjE4S9i0",37,"2'500- 4'000€
<4'300- 5'899CHF"
"148",229242449955882,1138,"R_Opo4165ngCwoCwF","female","Switzerland","> 4'000€
>5'900 CHF","middle school",3,4,1000,"R_2XiIXFvRQQWAgP4",42,"> 4'000€
>5'900 CHF"
"149",229242449955883,1653,"R_ePRcGNZrHmqLnz3","male","Switzerland","> 4'000€
>5'900 CHF","degree",1,2,1050,"R_3jd276FCkxUx0jk",65,"> 4'000€
>5'900 CHF"
"150",229242449956909,1303,"R_1CaoCMfaarSxBtF","male","Switzerland","> 4'000€
>5'900 CHF","obligatory school",2,7,1628,"R_Rkm2OIdJcP6tieZ",74,"> 4'000€
>5'900 CHF"
"151",229242449956910,1409,"R_b4uyOv2omR0cmf7","non-binary","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,2,1941,"R_2dWss8mIevBNbql",49,"<1'500- 2'499€
3'100-4'299CHF"
"152",229242449956912,1022,"R_1Ntv8wpML03b7xm","male","Switzerland","> 4'000€
>5'900 CHF","degree",1,7,2581,"R_efXCEpWlSglm0g1",45,"> 4'000€
>5'900 CHF"
"153",229242449956919,1778,"R_YPStZd2GXybgD4Z","male","Switzerland","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,4,4905,"R_RqobwnKucVJYDxn",70,"<1'500- 2'499€
3'100-4'299CHF"
"154",229242449956920,1571,"R_BP2EFUxic96I9z3","male","Switzerland","<1'500- 2'499€
3'100-4'299CHF","obligatory school",1,3,697,"R_2PnvZ3t3ESLuuRg",58,"<1'500- 2'499€
3'100-4'299CHF"
"155",229242449956922,1974,"R_22Gm4uvMmbgC5DE","male","Switzerland","<1'500€
<3'100CHF","degree",1,6,1745,"R_21hMGEwDlPxhjIx",67,"<1'500€
<3'100CHF"
"156",229242449956923,1911,"R_1KuKiaIDKfwR9fT","male","Switzerland","> 4'000€
>5'900 CHF","no formal education",3,2,1625,"R_1jxnsKE1PsOW2ud",57,"> 4'000€
>5'900 CHF"
"157",229242449957957,829,"R_3fpCT6vXz1qo6e5","male","Switzerland","<1'500€
<3'100CHF","obligatory school",1,6,348,"R_3FLhPWrwM4sq1Rv",54,"<1'500- 2'499€
3'100-4'299CHF"
"158",229242449957958,1036,"R_6FLOIM9YoMkt9Jv","female","Switzerland","<1'500- 2'499€
3'100-4'299CHF","middle school",1,4,1568,"R_27PatKwP1D3wBGB",62,"2'500- 4'000€
<4'300- 5'899CHF"
"159",229242449957973,1111,"R_3NwVilpJ5WUFUeT","male","Switzerland","> 4'000€
>5'900 CHF","obligatory school",2,3,1520,"R_0qrY0GIlLElSZnr",67,"> 4'000€
>5'900 CHF"
"160",229242449959012,256,"R_1fjZ5r9zSIjzIlU","male","Switzerland","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,10,314,"R_24Gb9X8geu0NxJ9",46,"<1'500- 2'499€
3'100-4'299CHF"
"161",229242449959017,957,"R_3CTa8fnOQGo2vNJ","female","Switzerland","> 4'000€
>5'900 CHF","obligatory school",2,5,2050,"R_vrkRIv7sYwaMm09",71,"> 4'000€
>5'900 CHF"
"162",229242449960046,1621,"R_27eATTdBXeYG3tx","male","Switzerland","> 4'000€
>5'900 CHF","middle school",2,4,3973,"R_YVse2xBKz1KBkEF",71,"> 4'000€
>5'900 CHF"
"163",229242449960050,1411,"R_w74WhCAphJ5s3ER","male","Switzerland","<1'500€
<3'100CHF","obligatory school",1,5,1130,"R_PBcTTnEeUPxENON",42,"<1'500€
<3'100CHF"
"164",229242449960052,2649,"R_yBZ7U0GXRh2cYxP","female","Switzerland","> 4'000€
>5'900 CHF","obligatory school",2,5,2994,"R_2riOlz6GykyQOSK",61,"> 4'000€
>5'900 CHF"
"165",229242449960054,767,"R_BS1RTsnmEQLUTVD","male","Switzerland","> 4'000€
>5'900 CHF","middle school",2,7,552,"R_3Kvm1dZ3PVC4eGF",36,"> 4'000€
>5'900 CHF"
"166",229242449960055,1011,"R_1laeW4H0RHUBzsH","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,7,1374,"R_3rzrxxCG9fLy6pr",44,"2'500- 4'000€
<4'300- 5'899CHF"
"167",229242449960057,936,"R_3QPeNwrbrNbvdfP","male","Switzerland","> 4'000€
>5'900 CHF","degree",1,8,881,"R_29uhdl1Vw2SydD1",37,"> 4'000€
>5'900 CHF"
"168",229242449960062,925,"R_306ktRGjcuf9mZ0","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,3,2021,"R_2R3WdyyTBE50O4B",58,"2'500- 4'000€
<4'300- 5'899CHF"
"169",229242449960063,970,"R_3ergTTY9rUQZYUY","male","Switzerland","> 4'000€
>5'900 CHF","degree",4,2,1577,"R_1LexZBYJhPpiZjV",32,"> 4'000€
>5'900 CHF"
"170",229242449961107,1383,"R_3GE294eZpd1Fd3b","male","Switzerland","> 4'000€
>5'900 CHF","degree",1,6,963,"R_9MQsh0tELQM4X1T",54,"> 4'000€
>5'900 CHF"
"171",229242449961110,716,"R_1M8VDHdZKmlVgit","female","Switzerland","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,5,881,"R_2ZWyyPiiLyQJZv6",60,"<1'500- 2'499€
3'100-4'299CHF"
"172",229242449961111,1143,"R_SZ8HCt2oohfoGEp","male","Switzerland","> 4'000€
>5'900 CHF","obligatory school",1,6,1546,"R_xfjqA81JKACqddn",47,"2'500- 4'000€
<4'300- 5'899CHF"
"173",229242449961112,977,"R_3purN895nsgKcPM","male","Switzerland","<1'500€
<3'100CHF","obligatory school",1,7,1112,"R_3Jx6MbfEXTvKxDI",63,"<1'500€
<3'100CHF"
"174",229242449962145,775,"R_DkjeeoSb4uJhCZr","female","Switzerland","> 4'000€
>5'900 CHF","middle school",4,3,833,"R_Oy85Q1DqMYq5jlD",38,"> 4'000€
>5'900 CHF"
"175",229242449962151,1146,"R_3GjRdkDUeZzBSiE","male","Switzerland","> 4'000€
>5'900 CHF","degree",2,6,1099,"R_2q8jjB4POrxng1J",72,"> 4'000€
>5'900 CHF"
"176",229242449962154,3176,"R_Zn3GcTpFo5aOZLX","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,8,1734,"R_2e5tMsjqS8r894Q",58,"> 4'000€
>5'900 CHF"
"177",229242449963187,534,"R_1jlhdlFwaaQA59K","male","Switzerland","<1'500€
<3'100CHF","degree",1,5,825,"R_2tzlX1mX1CPkNHm",56,"<1'500€
<3'100CHF"
"178",229242449963203,906,"R_pnGgcITh1qCIByN","female","Switzerland","<1'500- 2'499€
3'100-4'299CHF","middle school",2,8,1331,"R_2En7dxb8PY0sVqa",51,"<1'500- 2'499€
3'100-4'299CHF"
"179",229242449964248,1020,"R_3RlUrzOB5KhraCa","female","Switzerland","> 4'000€
>5'900 CHF","middle school",2,3,1096,"R_22zBwIlTw6hKf92",51,"> 4'000€
>5'900 CHF"
"180",229242449965295,6341,"R_tWjlJgTTfxF3Z85","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",1,5,1333,"R_1JFb2GboLo58HzV",50,"<1'500€
<3'100CHF"
"181",229242449965297,1624,"R_22t3DP5GfVLXGLD","male","Switzerland","> 4'000€
>5'900 CHF","obligatory school",4,4,3442,"R_1CdKX4DlM73wmnq",68,"> 4'000€
>5'900 CHF"
"182",229242449966083,648,"R_9YveB6Gb9clF5BL","female","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,493,"R_3iX9gC2rzaQW4Sf",51,"2'500- 4'000€
<4'300- 5'899CHF"
"183",229242449966323,775,"R_1giJxdmvvymiV9n","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",2,2,794,"R_3fTRdl9Y4HIzfQI",38,"2'500- 4'000€
<4'300- 5'899CHF"
"184",229242449966325,1606,"R_3QY8iM2BsTAFnet","male","Switzerland","<1'500€
<3'100CHF","obligatory school",2,8,1490,"R_247c4NnDPReP6Mb",63,"2'500- 4'000€
<4'300- 5'899CHF"
"185",229242449966328,880,"R_3094TaB3sKvL10w","female","Switzerland","<1'500- 2'499€
3'100-4'299CHF","middle school",1,2,805,"R_2m0qE3DQhkw5quZ",24,"<1'500- 2'499€
3'100-4'299CHF"
"186",229242449966330,888,"R_dncrAnUznXjCGB3","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","middle school",3,3,541,"R_ZfsmpK0IRtnlaF3",44,"2'500- 4'000€
<4'300- 5'899CHF"
"187",229242449966332,5992,"R_rlGxezzTYyQ1dsd","male","Switzerland","> 4'000€
>5'900 CHF","middle school",4,3,2083,"R_bkklTWAEx4yeNhL",57,"> 4'000€
>5'900 CHF"
"188",229242449967117,2993,"R_3IYJzRZcDP54Yp0","female","Switzerland","<1'500€
<3'100CHF","no formal education",2,5,1062,"R_3018SSHXTKbMgat",65,"<1'500€
<3'100CHF"
"189",229242449967120,438,"R_1Kev8GIYXYtnkha","female","Switzerland","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,6,532,"R_3LZ94aSf5ciIvSQ",32,"<1'500- 2'499€
3'100-4'299CHF"
"190",229242449968159,2485,"R_1ozndDYedU3NNdv","female","Switzerland","<1'500€
<3'100CHF","degree",2,5,338,"R_1mftDM95HcXdSyb",34,"<1'500€
<3'100CHF"
"191",229242449968175,1152,"R_1j8SoIjXPT4DTvP","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",4,4,1725,"R_3nouJkI0EPchv0K",40,"> 4'000€
>5'900 CHF"
"192",229242449969214,1162,"R_BWcQlGznhrP7sMp","female","Switzerland","> 4'000€
>5'900 CHF","middle school",3,3,1268,"R_1iqZeodTGsnoO71",50,"> 4'000€
>5'900 CHF"
"193",229242449969217,936,"R_2uO5XyabEbAk5mA","male","Switzerland","<1'500- 2'499€
3'100-4'299CHF","degree",1,4,1559,"R_3nDcGHwLMBdULri",26,"<1'500- 2'499€
3'100-4'299CHF"
"194",229242449969221,880,"R_2rZWfizlRieaASZ","male","Switzerland","> 4'000€
>5'900 CHF","degree",4,6,1252,"R_1CDUlzZa5Xoqq1P",51,"2'500- 4'000€
<4'300- 5'899CHF"
"195",229242449970251,1188,"R_3hbHzzIb2p5LFeV","male","Switzerland","> 4'000€
>5'900 CHF","degree",2,5,1700,"R_yjvkrUjn49WQFHj",75,"> 4'000€
>5'900 CHF"
"196",229242449970265,1960,"R_3g7PdyeJYmUqgqL","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",4,1,2091,"R_1rP3xwHOfSB3Xfm",57,"> 4'000€
>5'900 CHF"
"197",229242449971308,1194,"R_1OUA3EdngDKk0Ea","female","Switzerland","> 4'000€
>5'900 CHF","middle school",5,8,545,"R_1o6ZCIGdLLfFE7n",45,"> 4'000€
>5'900 CHF"
"198",229242449971312,1249,"R_3G3WlwN39JkIQgE","male","Switzerland","<1'500€
<3'100CHF","obligatory school",3,4,958,"R_3MF2TwU91RhiPHD",34,"<1'500€
<3'100CHF"
"199",229242449971313,332,"R_2428sfO7EKpA7fk","male","Switzerland","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,8,327,"R_3n6ZLYGSBz8LotP",26,"<1'500- 2'499€
3'100-4'299CHF"
"200",229242449972339,659,"R_3IbFB1uZogY5uRE","female","Switzerland","> 4'000€
>5'900 CHF","obligatory school",4,5,1167,"R_1LuhzYh0vCqcqBC",34,"> 4'000€
>5'900 CHF"
"201",229242449974438,1056,"R_22Jq692U13FYFUt","female","Switzerland","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,7,1468,"R_2ZCBDZDzOb6z8WQ",41,"<1'500€
<3'100CHF"
"202",229242449974445,889,"R_ctG5Kx6MAHpvksN","female","Switzerland","> 4'000€
>5'900 CHF","no formal education",5,5,2385,"R_2pSICNURNCbmghb",47,"<1'500€
<3'100CHF"
"203",229242449975493,1102,"R_3G8pt8Wr04bbf0j","male","Switzerland","> 4'000€
>5'900 CHF","degree",1,4,1530,"R_3lQDx1cB3wc76j8",44,"> 4'000€
>5'900 CHF"
"204",229242449977582,466,"R_22n0WXr4mjhJpiL","female","Switzerland","<1'500€
<3'100CHF","obligatory school",3,7,341,"R_2CDORoRuFPEWDUw",25,"<1'500- 2'499€
3'100-4'299CHF"
"205",229242449979409,1110,"R_1E1iVSxujfpCeOa","male","Switzerland","> 4'000€
>5'900 CHF","no formal education",3,4,386,"R_1CkdNoOv8qkxuic",52,"> 4'000€
>5'900 CHF"
"206",229242449982547,2732,"R_3IQALOx3VPabIO9","male","Switzerland","<1'500€
<3'100CHF","degree",1,8,1571,"R_BremVIKM3Mz3PEJ",59,"<1'500€
<3'100CHF"
"207",229242449982562,1211,"R_1k23tDbzBDJCCYn","female","Switzerland","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,4,2039,"R_1PdvSyRjroeuRch",56,"<1'500- 2'499€
3'100-4'299CHF"
"208",229242450000078,2050,"R_2Ya0u9hmC0kciFh","male","Switzerland","> 4'000€
>5'900 CHF","degree",3,8,1503,"R_9ELsKDXdklSgout",30,"> 4'000€
>5'900 CHF"
"209",229242450000079,1111,"R_12yXH8xz8UrwnZY","male","Switzerland","<1'500€
<3'100CHF","degree",5,7,935,"R_Z4OXurWi3XzPkC5",29,"<1'500€
<3'100CHF"
"210",229242450002154,2100,"R_2trMR4xpeJTo3lq","female","Switzerland","> 4'000€
>5'900 CHF","degree",4,4,3219,"R_2t9y2YhFbxge3FX",26,"> 4'000€
>5'900 CHF"
"211",229242450002158,544,"R_20TCFE2SuJlAdd3","male","Switzerland","> 4'000€
>5'900 CHF","degree",3,3,854,"R_SDftbHpcLbTJRdv",59,"> 4'000€
>5'900 CHF"
"212",229242450002953,676,"R_agXpMIb0kb5POKZ","female","Switzerland","> 4'000€
>5'900 CHF","no formal education",4,6,442,"R_2s6KWJEUr5gIDwb",36,"> 4'000€
>5'900 CHF"
"213",229242450005039,1343,"R_1OvOFRLWhWj8qP5","female","Switzerland","> 4'000€
>5'900 CHF","degree",4,6,858,"R_Q0xRb6pvLJr6HId",25,"> 4'000€
>5'900 CHF"
"214",229242450005063,3182,"R_1118V3m8mB8zTU3","female","Switzerland","<1'500- 2'499€
3'100-4'299CHF","middle school",1,6,721,"R_2f6EtfUFp544Jg0",27,"<1'500- 2'499€
3'100-4'299CHF"
"215",229242450008195,1453,"R_2XakNPEaYy4jjwG","male","Switzerland","> 4'000€
>5'900 CHF","degree",2,3,1382,"R_2OTucPfWLWySgbQ",30,"> 4'000€
>5'900 CHF"
"216",229242450009233,798,"R_2Qnsay2GAENyGmu","female","Switzerland","> 4'000€
>5'900 CHF","degree",2,6,709,"R_DvGNooOqCLbTfUt",34,"> 4'000€
>5'900 CHF"
"217",229242450013428,806,"R_XUiFn3Edf8V2FBD","female","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",3,5,3193,"R_oZRgNtKPISTf8Qh",26,"2'500- 4'000€
<4'300- 5'899CHF"
"218",229242450014215,2138,"R_20PrGSgbrqfLXmF","male","Switzerland","<1'500€
<3'100CHF","obligatory school",1,4,2242,"R_2TXIK6VleUaA37H",59,"<1'500€
<3'100CHF"
"219",229242450017359,2283,"R_3iRaw3Ijg0YgqDl","female","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,3,1703,"R_3gXFwb5Rj3GeayC",38,"<1'500- 2'499€
3'100-4'299CHF"
"220",229242450019449,1012,"R_1pLjkduyxId8PDO","female","Switzerland","> 4'000€
>5'900 CHF","degree",4,8,2107,"R_2DOdBo6U9ALFufg",32,"> 4'000€
>5'900 CHF"
"221",229242450025714,893,"R_3m1oTqlV5Yjzzl8","male","Switzerland","> 4'000€
>5'900 CHF","middle school",4,3,1486,"R_3EgThIVtlqB8ZFN",51,"> 4'000€
>5'900 CHF"
"222",229242450029643,1285,"R_3R8wRWQYe5SZdbT","female","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,4,1019,"R_cBDbI624h84mH4d",19,"> 4'000€
>5'900 CHF"
"223",229242450030694,1054,"R_12sASZ4D9fY0jtV","male","Switzerland","> 4'000€
>5'900 CHF","obligatory school",4,5,1383,"R_w5XWAQ49QLmCWfD",33,"> 4'000€
>5'900 CHF"
"224",229242450031736,828,"R_2dHkl1F6JWDWwxd","female","Switzerland","> 4'000€
>5'900 CHF","degree",4,8,561,"R_2uwdWxZvlMDvlSb",36,"> 4'000€
>5'900 CHF"
"225",229242450035926,1627,"R_1oGDoYaN0EHfSOZ","female","Switzerland","<1'500€
<3'100CHF","degree",1,5,1330,"R_Ybr1hoXT0OQo277",49,"<1'500€
<3'100CHF"
"226",229255657928942,1354,"R_1DYavCLz1ceAMY4","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","degree",2,4,1746,"R_pDyGasdoI2EyTa9",66,"2'500- 4'000€
<4'300- 5'899CHF"
"227",229255657930998,1299,"R_D8X8cKEgvvYgB7r","male","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",1,6,1541,"R_ZDBtgQFafDprwXv",64,"<1'500- 2'499€
3'100-4'299CHF"
"228",229255657931005,1040,"R_3fxDHe5zipJwTU7","female","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",1,4,7742,"R_2ROlNuBvXLmCi1x",56,"<1'500- 2'499€
3'100-4'299CHF"
"229",229255657931781,1256,"R_vBpjBVWxgHwdR85","male","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",1,5,2182,"R_yHAHJFquMBmsUEh",67,"<1'500- 2'499€
3'100-4'299CHF"
"230",229255657931784,803,"R_3fk6vs8uR5E62Lj","female","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",4,7,841,"R_2THMWSSD3Kxxxy0",46,"<1'500- 2'499€
3'100-4'299CHF"
"231",229255657932820,1049,"R_2Evp2buY7Uor84e","female","Germany","> 4'000€
>5'900 CHF","degree",2,5,1819,"R_3G6sJVzV6kfEKOa",54,"> 4'000€
>5'900 CHF"
"232",229255657932824,571,"R_338DXYGYMn3iys2","male","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,5,689,"R_3kMmLUhdgxfo5E4",52,"2'500- 4'000€
<4'300- 5'899CHF"
"233",229255657932828,1079,"R_2AQG0rzvUe5a4kM","female","Germany","> 4'000€
>5'900 CHF","degree",4,7,1704,"R_3MuHWM5gnFAahwf",60,"2'500- 4'000€
<4'300- 5'899CHF"
"234",229255657932836,967,"R_3fCC8ucc5RnZ1VV","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","degree",3,2,888,"R_vpKZaC6pOjVvcxr",26,"<1'500- 2'499€
3'100-4'299CHF"
"235",229255657933879,845,"R_1mEKYPdbW4MPIrp","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,7,1060,"R_2A0ZyfHN8PF2erE",55,"2'500- 4'000€
<4'300- 5'899CHF"
"236",229255657933882,191,"R_3JEMbuOuhVgoqMu","female","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",2,6,5477,"R_3ehwouC3ge2ORK8",28,"2'500- 4'000€
<4'300- 5'899CHF"
"237",229255657934918,1204,"R_3kiAUePCg8kLR8i","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","degree",2,5,949,"R_2VxLGUSM0lfPof1",57,"2'500- 4'000€
<4'300- 5'899CHF"
"238",229255657935968,798,"R_22PLy8f4obVWnmz","male","Germany","<1'500€
<3'100CHF","middle school",1,5,952,"R_3R4pVcd0KlBWl4V",58,"<1'500€
<3'100CHF"
"239",229255657936995,755,"R_1cRMDsT3mr8KrF8","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,6,695,"R_2TTOTNsSyKVUUZy",48,"2'500- 4'000€
<4'300- 5'899CHF"
"240",229255657936996,739,"R_234fD5Z9iTrtGwl","female","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,4,775,"R_12nepXyOEnwLAif",22,"<1'500- 2'499€
3'100-4'299CHF"
"241",229255657936997,461,"R_BVtq8zZtCjE6BB7","male","Germany","> 4'000€
>5'900 CHF","middle school",3,4,343,"R_1g0codRo4a9OQoO",28,"> 4'000€
>5'900 CHF"
"242",229255657937001,770,"R_cYIwKezOfDVVChz","male","Germany","<1'500€
<3'100CHF","obligatory school",3,5,3778,"R_3hubsLzXrSdsisz",44,"<1'500- 2'499€
3'100-4'299CHF"
"243",229255657938040,740,"R_1QlOVkUcUhO7Ja9","male","Germany","> 4'000€
>5'900 CHF","degree",2,6,917,"R_30fcPq6axMgBolc",51,"> 4'000€
>5'900 CHF"
"244",229255657938043,990,"R_1NaaqSLkXYb5DrA","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",4,5,924,"R_RKqHmKR3xJkYtax",48,"2'500- 4'000€
<4'300- 5'899CHF"
"245",229255657938050,642,"R_eD8g0UCMaZ6WwHD","female","Germany","> 4'000€
>5'900 CHF","middle school",2,5,584,"R_2qsWlKE7GL6R6AA",23,"> 4'000€
>5'900 CHF"
"246",229255657938053,271,"R_2fIqlpFWdm53Qql","male","Germany","<1'500€
<3'100CHF","middle school",2,6,293,"R_3G8I7WddfYMcMEJ",24,"<1'500- 2'499€
3'100-4'299CHF"
"247",229255657939087,1002,"R_RJ1q7A8dttieTbH","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,5,1251,"R_5bCMNYtDwE2pQwp",53,"2'500- 4'000€
<4'300- 5'899CHF"
"248",229255657939091,687,"R_25sc4jWiebwhoSv","female","Germany","> 4'000€
>5'900 CHF","degree",2,5,720,"R_1gLvjTZg4QNX5QS",31,"> 4'000€
>5'900 CHF"
"249",229255657939099,1113,"R_eyRlyv0mGo9RljH","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",4,5,1244,"R_2YLoY951ZogozTf",22,"2'500- 4'000€
<4'300- 5'899CHF"
"250",229255657940124,1093,"R_33lJSHl58cOMGeI","female","Germany","<1'500€
<3'100CHF","obligatory school",1,6,1179,"R_6x2dzcsjIH9Sqxr",60,"<1'500€
<3'100CHF"
"251",229255657940131,343,"R_2TMKimcEcRwikm9","male","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",2,5,858,"R_3e1TqdtfLQhf4L2",28,"<1'500- 2'499€
3'100-4'299CHF"
"252",229255657941170,7128,"R_3g02bcIpWgCvGPQ","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",4,4,1506,"R_3L7muBEyUDuUPvc",22,"<1'500- 2'499€
3'100-4'299CHF"
"253",229255657942213,629,"R_3nUc7oJWOKlnJBV","male","Germany","<1'500€
<3'100CHF","middle school",1,3,1678,"R_1RJFm66oU5fP5Qt",26,"<1'500€
<3'100CHF"
"254",229255657942218,4119,"R_20Ov8RSteb1ii4S","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,6,1384,"R_3EDOF5X2jihdhSP",50,"2'500- 4'000€
<4'300- 5'899CHF"
"255",229255657942219,1172,"R_1Liem5kTbkr14lF","male","Germany","> 4'000€
>5'900 CHF","degree",3,6,1634,"R_2dzIMFCeBrnYXrM",34,"> 4'000€
>5'900 CHF"
"256",229255657944304,870,"R_2OHnrdDxPzzoGN2","male","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",1,4,389,"R_RXD3p5as6SpKiqd",24,"<1'500- 2'499€
3'100-4'299CHF"
